0_1 | 1
10_42 | -1*z^6 + 2*v^2*z^4 + -3*z^4 + 2*v^-2*z^4 + -1*v^4*z^2 + 3*v^2*z^2 + -5*z^2 + 4*v^-2*z^2 + -1*v^-4*z^2 + v^2 + -2 + 3*v^-2 + -1*v^-4
10_43 | -1*z^6 + 2*v^2*z^4 + -3*z^4 + 2*v^-2*z^4 + -1*v^4*z^2 + 4*v^2*z^2 + -4*z^2 + 4*v^-2*z^2 + -1*v^-4*z^2 + -1*v^4 + 2*v^2 + -1 + 2*v^-2 + -1*v^-4
10_44 | v^2*z^6 + -2*v^4*z^4 + 3*v^2*z^4 + -2*z^4 + v^6*z^2 + -3*v^4*z^2 + 5*v^2*z^2 + -4*z^2 + v^-2*z^2 + -1*v^4 + 3*v^2 + -2 + v^-2
10_45 | -1*z^6 + 2*v^2*z^4 + -3*z^4 + 2*v^-2*z^4 + -1*v^4*z^2 + 3*v^2*z^2 + -6*z^2 + 3*v^-2*z^2 + -1*v^-4*z^2 + 2*v^2 + -3 + 2*v^-2
10_46 | -1*v^6*z^8 + v^8*z^6 + -7*v^6*z^6 + v^4*z^6 + 5*v^8*z^4 + -17*v^6*z^4 + 6*v^4*z^4 + 7*v^8*z^2 + -18*v^6*z^2 + 11*v^4*z^2 + 3*v^8 + -8*v^6 + 6*v^4
10_47 | v^-4*z^8 + -1*v^-2*z^6 + 7*v^-4*z^6 + -1*v^-6*z^6 + -5*v^-2*z^4 + 18*v^-4*z^4 + -5*v^-6*z^4 + -7*v^-2*z^2 + 21*v^-4*z^2 + -8*v^-6*z^2 + -3*v^-2 + 9*v^-4 + -5*v^-6
10_48 | z^8 + -1*v^2*z^6 + 7*z^6 + -1*v^-2*z^6 + -5*v^2*z^4 + 18*z^4 + -5*v^-2*z^4 + -8*v^2*z^2 + 20*z^2 + -8*v^-2*z^2 + -4*v^2 + 9 + -4*v^-2
10_49 | 2*v^8*z^6 + v^6*z^6 + -3*v^10*z^4 + 9*v^8*z^4 + 4*v^6*z^4 + v^12*z^2 + -10*v^10*z^2 + 12*v^8*z^2 + 4*v^6*z^2 + 2*v^12 + -7*v^10 + 5*v^8 + v^6
10_50 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -4*v^6*z^4 + -3*v^4*z^4 + v^2*z^4 + 3*v^8*z^2 + -6*v^6*z^2 + -1*v^4*z^2 + 3*v^2*z^2 + 2*v^8 + -4*v^6 + v^4 + 2*v^2
10_51 | v^-2*z^6 + v^-4*z^6 + -1*z^4 + 3*v^-2*z^4 + 4*v^-4*z^4 + -1*v^-6*z^4 + -2*z^2 + 3*v^-2*z^2 + 7*v^-4*z^2 + -3*v^-6*z^2 + -1 + v^-2 + 4*v^-4 + -3*v^-6
10_52, 12n_241, 13n_340 | v^2*z^6 + z^6 + -1*v^4*z^4 + 3*v^2*z^4 + 4*z^4 + -1*v^-2*z^4 + -2*v^4*z^2 + 2*v^2*z^2 + 6*z^2 + -3*v^-2*z^2 + -1*v^4 + 4 + -2*v^-2
